STATEFIPS,STATE,zipcode,agi_stub
1,AL,0,1
1,AL,0,2
1,AL,0,3
1,AL,0,4
1,AL,0,5
1,AL,0,6
1,AL,35004,1
1,AL,35004,2
1,AL,35004,3
1,AL,35004,4
1,AL,35004,5
1,AL,35004,6
1,AL,35005,1
1,AL,35005,2
1,AL,35005,3
1,AL,35005,4
1,AL,35005,5
1,AL,35005,6
1,AL,35006,1
1,AL,35006,2
1,AL,35006,3
1,AL,35006,4
1,AL,35006,5
1,AL,35006,6
1,AL,35007,1
1,AL,35007,2
1,AL,35007,3
1,AL,35007,4
1,AL,35007,5
1,AL,35007,6
1,AL,35010,1
1,AL,35010,2
1,AL,35010,3
1,AL,35010,4
1,AL,35010,5
1,AL,35010,6
1,AL,35014,1
1,AL,35014,2
1,AL,35014,3
1,AL,35014,4
1,AL,35014,5
1,AL,35014,6
1,AL,35016,1
1,AL,35016,2
1,AL,35016,3
1,AL,35016,4
1,AL,35016,5
1,AL,35016,6
1,AL,35019,1
1,AL,35019,2
1,AL,35019,3
1,AL,35019,4
1,AL,35019,5
1,AL,35019,6
1,AL,35020,1
1,AL,35020,2
1,AL,35020,3
1,AL,35020,4
1,AL,35020,5
1,AL,35020,6
1,AL,35022,1
1,AL,35022,2
1,AL,35022,3
1,AL,35022,4
1,AL,35022,5
1,AL,35022,6
1,AL,35023,1
1,AL,35023,2
1,AL,35023,3
1,AL,35023,4
1,AL,35023,5
1,AL,35023,6
1,AL,35031,1
1,AL,35031,2
1,AL,35031,3
1,AL,35031,4
1,AL,35031,5
1,AL,35031,6
1,AL,35033,1
1,AL,35033,2
1,AL,35033,3
1,AL,35033,4
1,AL,35033,5
1,AL,35033,6
1,AL,35034,1
1,AL,35034,2
1,AL,35034,3
1,AL,35034,4
1,AL,35034,5
1,AL,35034,6
1,AL,35035,1
1,AL,35035,2
1,AL,35035,3
1,AL,35035,4
1,AL,35035,5
1,AL,35035,6
1,AL,35040,1
1,AL,35040,2
1,AL,35040,3
1,AL,35040,4
1,AL,35040,5
1,AL,35040,6
1,AL,35042,1
1,AL,35042,2
1,AL,35042,3
1,AL,35042,4
1,AL,35042,5
1,AL,35042,6
1,AL,35043,1
1,AL,35043,2
1,AL,35043,3
1,AL,35043,4
1,AL,35043,5
1,AL,35043,6
1,AL,35044,1
1,AL,35044,2
1,AL,35044,3
1,AL,35044,4
1,AL,35044,5
1,AL,35044,6
1,AL,35045,1
1,AL,35045,2
1,AL,35045,3
1,AL,35045,4
1,AL,35045,5
1,AL,35045,6
1,AL,35046,1
1,AL,35046,2
1,AL,35046,3
1,AL,35046,4
1,AL,35046,5
1,AL,35046,6
1,AL,35049,1
1,AL,35049,2
1,AL,35049,3
1,AL,35049,4
1,AL,35049,5
1,AL,35049,6
1,AL,35051,1
1,AL,35051,2
1,AL,35051,3
1,AL,35051,4
1,AL,35051,5
1,AL,35051,6
1,AL,35053,1
1,AL,35053,2
1,AL,35053,3
1,AL,35053,4
1,AL,35053,5
1,AL,35053,6
1,AL,35054,1
1,AL,35054,2
1,AL,35054,3
1,AL,35054,4
1,AL,35054,5
1,AL,35054,6
1,AL,35055,1
1,AL,35055,2
1,AL,35055,3
1,AL,35055,4
1,AL,35055,5
1,AL,35055,6
1,AL,35057,1
1,AL,35057,2
1,AL,35057,3
1,AL,35057,4
1,AL,35057,5
1,AL,35057,6
1,AL,35058,1
1,AL,35058,2
1,AL,35058,3
1,AL,35058,4
1,AL,35058,5
1,AL,35058,6
1,AL,35060,1
1,AL,35060,2
1,AL,35060,3
1,AL,35060,4
1,AL,35060,5
1,AL,35060,6
1,AL,35061,1
1,AL,35061,2
1,AL,35061,3
1,AL,35061,4
1,AL,35061,5
1,AL,35061,6
1,AL,35062,1
1,AL,35062,2
1,AL,35062,3
1,AL,35062,4
1,AL,35062,5
1,AL,35062,6
1,AL,35063,1
1,AL,35063,2
1,AL,35063,3
1,AL,35063,4
1,AL,35063,5
1,AL,35063,6
1,AL,35064,1
1,AL,35064,2
1,AL,35064,3
1,AL,35064,4
1,AL,35064,5
1,AL,35064,6
1,AL,35068,1
1,AL,35068,2
1,AL,35068,3
1,AL,35068,4
1,AL,35068,5
1,AL,35068,6
1,AL,35071,1
1,AL,35071,2
1,AL,35071,3
1,AL,35071,4
1,AL,35071,5
1,AL,35071,6
1,AL,35072,1
1,AL,35072,2
1,AL,35072,3
1,AL,35072,4
1,AL,35072,5
1,AL,35072,6
1,AL,35073,1
1,AL,35073,2
1,AL,35073,3
1,AL,35073,4
1,AL,35073,5
1,AL,35073,6
1,AL,35077,1
1,AL,35077,2
1,AL,35077,3
1,AL,35077,4
1,AL,35077,5
1,AL,35077,6
1,AL,35078,1
1,AL,35078,2
1,AL,35078,3
1,AL,35078,4
1,AL,35078,5
1,AL,35078,6
1,AL,35079,1
1,AL,35079,2
1,AL,35079,3
1,AL,35079,4
1,AL,35079,5
1,AL,35079,6
1,AL,35080,1
1,AL,35080,2
1,AL,35080,3
1,AL,35080,4
1,AL,35080,5
1,AL,35080,6
1,AL,35083,1
1,AL,35083,2
1,AL,35083,3
1,AL,35083,4
1,AL,35083,5
1,AL,35083,6
1,AL,35085,1
1,AL,35085,2
1,AL,35085,3
1,AL,35085,4
1,AL,35085,5
1,AL,35085,6
1,AL,35087,1
1,AL,35087,2
1,AL,35087,3
1,AL,35087,4
1,AL,35087,5
1,AL,35087,6
1,AL,35089,1
1,AL,35089,2
1,AL,35089,3
1,AL,35089,4
1,AL,35089,5
1,AL,35089,6
1,AL,35091,1
1,AL,35091,2
1,AL,35091,3
1,AL,35091,4
1,AL,35091,5
1,AL,35091,6
1,AL,35094,1
1,AL,35094,2
1,AL,35094,3
1,AL,35094,4
1,AL,35094,5
1,AL,35094,6
1,AL,35096,1
1,AL,35096,2
1,AL,35096,3
1,AL,35096,4
1,AL,35096,5
1,AL,35096,6
1,AL,35097,1
1,AL,35097,2
1,AL,35097,3
1,AL,35097,4
1,AL,35097,5
1,AL,35097,6
1,AL,35098,1
1,AL,35098,2
1,AL,35098,3
1,AL,35098,4
1,AL,35098,5
1,AL,35098,6
1,AL,35111,1
1,AL,35111,2
1,AL,35111,3
1,AL,35111,4
1,AL,35111,5
1,AL,35111,6
1,AL,35112,1
1,AL,35112,2
1,AL,35112,3
1,AL,35112,4
1,AL,35112,5
1,AL,35112,6
1,AL,35114,1
1,AL,35114,2
1,AL,35114,3
1,AL,35114,4
1,AL,35114,5
1,AL,35114,6
1,AL,35115,1
1,AL,35115,2
1,AL,35115,3
1,AL,35115,4
1,AL,35115,5
1,AL,35115,6
1,AL,35116,1
1,AL,35116,2
1,AL,35116,3
1,AL,35116,4
1,AL,35116,5
1,AL,35116,6
1,AL,35117,1
1,AL,35117,2
1,AL,35117,3
1,AL,35117,4
1,AL,35117,5
1,AL,35117,6
1,AL,35118,1
1,AL,35118,2
1,AL,35118,3
1,AL,35118,4
1,AL,35118,5
1,AL,35118,6
1,AL,35120,1
1,AL,35120,2
1,AL,35120,3
1,AL,35120,4
1,AL,35120,5
1,AL,35120,6
1,AL,35121,1
1,AL,35121,2
1,AL,35121,3
1,AL,35121,4
1,AL,35121,5
1,AL,35121,6
1,AL,35124,1
1,AL,35124,2
1,AL,35124,3
1,AL,35124,4
1,AL,35124,5
1,AL,35124,6
1,AL,35125,1
1,AL,35125,2
1,AL,35125,3
1,AL,35125,4
1,AL,35125,5
1,AL,35125,6
1,AL,35126,1
1,AL,35126,2
1,AL,35126,3
1,AL,35126,4
1,AL,35126,5
1,AL,35126,6
1,AL,35127,1
1,AL,35127,2
1,AL,35127,3
1,AL,35127,4
1,AL,35127,5
1,AL,35127,6
1,AL,35128,1
1,AL,35128,2
1,AL,35128,3
1,AL,35128,4
1,AL,35128,5
1,AL,35128,6
1,AL,35130,1
1,AL,35130,2
1,AL,35130,3
1,AL,35130,4
1,AL,35130,5
1,AL,35130,6
1,AL,35131,1
1,AL,35131,2
1,AL,35131,3
1,AL,35131,4
1,AL,35131,5
1,AL,35131,6
1,AL,35133,1
1,AL,35133,2
1,AL,35133,3
1,AL,35133,4
1,AL,35133,5
1,AL,35133,6
1,AL,35135,1
1,AL,35135,2
1,AL,35135,3
1,AL,35135,4
1,AL,35135,5
1,AL,35135,6
1,AL,35136,1
1,AL,35136,2
1,AL,35136,3
1,AL,35136,4
1,AL,35136,5
1,AL,35136,6
1,AL,35143,1
1,AL,35143,2
1,AL,35143,3
1,AL,35143,4
1,AL,35143,5
1,AL,35143,6
1,AL,35146,1
1,AL,35146,2
1,AL,35146,3
1,AL,35146,4
1,AL,35146,5
1,AL,35146,6
1,AL,35147,1
1,AL,35147,2
1,AL,35147,3
1,AL,35147,4
1,AL,35147,5
1,AL,35147,6
1,AL,35148,1
1,AL,35148,2
1,AL,35148,3
1,AL,35148,4
1,AL,35148,5
1,AL,35148,6
1,AL,35149,1
1,AL,35149,2
1,AL,35149,3
1,AL,35149,4
1,AL,35149,5
1,AL,35149,6
1,AL,35150,1
1,AL,35150,2
1,AL,35150,3
1,AL,35150,4
1,AL,35150,5
1,AL,35150,6
1,AL,35151,1
1,AL,35151,2
1,AL,35151,3
1,AL,35151,4
1,AL,35151,5
1,AL,35151,6
1,AL,35160,1
1,AL,35160,2
1,AL,35160,3
1,AL,35160,4
1,AL,35160,5
1,AL,35160,6
1,AL,35171,1
1,AL,35171,2
1,AL,35171,3
1,AL,35171,4
1,AL,35171,5
1,AL,35171,6
1,AL,35172,1
1,AL,35172,2
1,AL,35172,3
1,AL,35172,4
1,AL,35172,5
1,AL,35172,6
1,AL,35173,1
1,AL,35173,2
1,AL,35173,3
1,AL,35173,4
1,AL,35173,5
1,AL,35173,6
1,AL,35175,1
1,AL,35175,2
1,AL,35175,3
1,AL,35175,4
1,AL,35175,5
1,AL,35175,6
1,AL,35176,1
1,AL,35176,2
1,AL,35176,3
1,AL,35176,4
1,AL,35176,5
1,AL,35176,6
1,AL,35178,1
1,AL,35178,2
1,AL,35178,3
1,AL,35178,4
1,AL,35178,5
1,AL,35178,6
1,AL,35179,1
1,AL,35179,2
1,AL,35179,3
1,AL,35179,4
1,AL,35179,5
1,AL,35179,6
1,AL,35180,1
1,AL,35180,2
1,AL,35180,3
1,AL,35180,4
1,AL,35180,5
1,AL,35180,6
1,AL,35183,1
1,AL,35183,2
1,AL,35183,3
1,AL,35183,4
1,AL,35183,5
1,AL,35183,6
1,AL,35184,1
1,AL,35184,2
1,AL,35184,3
1,AL,35184,4
1,AL,35184,5
1,AL,35184,6
1,AL,35186,1
1,AL,35186,2
1,AL,35186,3
1,AL,35186,4
1,AL,35186,5
1,AL,35186,6
1,AL,35188,1
1,AL,35188,2
1,AL,35188,3
1,AL,35188,4
1,AL,35188,5
1,AL,35188,6
1,AL,35203,1
1,AL,35203,2
1,AL,35203,3
1,AL,35203,4
1,AL,35203,5
1,AL,35203,6
1,AL,35204,1
1,AL,35204,2
1,AL,35204,3
1,AL,35204,4
1,AL,35204,5
1,AL,35204,6
1,AL,35205,1
1,AL,35205,2
1,AL,35205,3
1,AL,35205,4
1,AL,35205,5
1,AL,35205,6
1,AL,35206,1
1,AL,35206,2
1,AL,35206,3
1,AL,35206,4
1,AL,35206,5
1,AL,35206,6
1,AL,35207,1
1,AL,35207,2
1,AL,35207,3
1,AL,35207,4
1,AL,35207,5
1,AL,35207,6
1,AL,35208,1
1,AL,35208,2
1,AL,35208,3
1,AL,35208,4
